anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,27.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,28.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,29.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,30.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,31.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,4513.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,166.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,159.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,160.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,130.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,141.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,167.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,161.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,141.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,143.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,141.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,145.0,hechos,10,PRPNC24_cuadro_10.csv
